大專校院校別學生數,,,,,,,,,,,,,,,,,,,,,,,,
107 學年度 SY2018-2019,,,,,,,,,,,,,,,,,,,,,,,,
學校代碼,學校名稱,日間∕進修別,等級別,總計,男生計,女生計,一年級男生,一年級女生,二年級男生,二年級女生,三年級男生,三年級女生,四年級男生,四年級女生,五年級男生,五年級女生,六年級男生,六年級女生,七年級男生,七年級女生,延修生男生,延修生女生,縣市名稱,體系別
0012,國立臺灣海洋大學,D 日,D 博士,301,230,71,52,14,38,20,33,6,26,11,30,6,15,5,36,9,-,-,17 基隆市,1 一般
0012,國立臺灣海洋大學,D 日,M 碩士,"1,416",911,505,405,238,342,176,98,50,45,22,15,13,6,6,-,-,-,-,17 基隆市,1 一般
0012,國立臺灣海洋大學,D 日,B 學士,"5,769","4,002","1,767",956,455,955,455,953,433,944,393,-,-,-,-,-,-,194,31,17 基隆市,1 一般
0012,國立臺灣海洋大學,N 職,M 碩士,552,334,218,115,92,108,71,65,29,26,14,12,9,4,1,4,2,-,-,17 基隆市,1 一般
0012,國立臺灣海洋大學,N 修,X 4+X,144,123,21,63,11,58,9,-,-,-,-,-,-,-,-,-,-,2,1,17 基隆市,1 一般
0012,國立臺灣海洋大學,P 進,B 學士,473,268,205,60,52,47,40,68,55,66,48,-,-,-,-,-,-,27,10,17 基隆市,1 一般
0013,國立中正大學,D 日,D 博士,600,407,193,70,33,61,38,65,29,64,34,45,18,46,21,56,20,-,-,10 嘉義縣,1 一般
0013,國立中正大學,D 日,M 碩士,"2,799","1,739","1,060",700,393,647,405,263,181,128,81,1,-,-,-,-,-,-,-,10 嘉義縣,1 一般
0013,國立中正大學,D 日,B 學士,"6,579","3,591","2,988",814,727,851,727,894,718,867,732,-,-,-,-,-,-,165,84,10 嘉義縣,1 一般
0013,國立中正大學,N 職,M 碩士,"1,350",640,710,221,261,188,238,120,111,63,57,48,43,-,-,-,-,-,-,10 嘉義縣,1 一般
0014,國立高雄師範大學,D 日,D 博士,441,216,225,37,34,39,35,35,37,27,38,29,32,17,21,32,28,-,-,50 高雄市,3 師範
0014,國立高雄師範大學,D 日,M 碩士,"1,393",531,862,194,273,167,253,96,163,61,145,13,24,-,4,-,-,-,-,50 高雄市,3 師範
0014,國立高雄師範大學,D 日,B 學士,"3,492","1,676","1,816",452,442,368,447,409,443,396,442,-,-,-,-,-,-,51,42,50 高雄市,3 師範
0014,國立高雄師範大學,N 職,M 碩士,"1,352",477,875,159,267,170,275,75,150,36,96,17,46,20,41,-,-,-,-,50 高雄市,3 師範
0015,國立彰化師範大學,D 日,D 博士,498,305,193,51,32,53,36,54,28,44,36,41,22,36,21,26,18,-,-,07 彰化縣,3 師範
