大專校院校別學生數,,,,,,,,,,,,,,,,,,,,,,,,
107 學年度 SY2018-2019,,,,,,,,,,,,,,,,,,,,,,,,
學校代碼,學校名稱,日間∕進修別,等級別,總計,男生計,女生計,一年級男生,一年級女生,二年級男生,二年級女生,三年級男生,三年級女生,四年級男生,四年級女生,五年級男生,五年級女生,六年級男生,六年級女生,七年級男生,七年級女生,延修生男生,延修生女生,縣市名稱,體系別
0043,國立勤益科技大學,D 日,B 四技,"6,673","4,520","2,153","1,163",549,"1,089",513,"1,031",497,"1,065",546,-,-,-,-,-,-,172,48,06 臺中市,2 技職
0043,國立勤益科技大學,D 日,C 二技,76,71,5,-,-,-,-,38,4,32,1,-,-,-,-,-,-,1,-,06 臺中市,2 技職
0043,國立勤益科技大學,N 職,M 碩士,281,224,57,93,28,77,23,25,2,17,3,8,1,4,-,-,-,-,-,06 臺中市,2 技職
0043,國立勤益科技大學,N 修,B 四技,"3,479","2,858",621,739,157,726,156,640,124,594,153,-,-,-,-,-,-,159,31,06 臺中市,2 技職
0043,國立勤益科技大學,N 修,C 二技,19,14,5,-,-,-,-,8,4,4,1,-,-,-,-,-,-,2,-,06 臺中市,2 技職
0044,國立體育大學,D 日,D 博士,158,108,50,26,3,20,8,14,10,21,7,11,6,10,6,6,10,-,-,03 桃園市,1 一般
0044,國立體育大學,D 日,M 碩士,343,189,154,79,53,57,50,32,31,21,20,-,-,-,-,-,-,-,-,03 桃園市,1 一般
0044,國立體育大學,D 日,B 學士,"1,675","1,075",600,272,140,235,158,232,149,242,122,-,-,-,-,-,-,94,31,03 桃園市,1 一般
0044,國立體育大學,N 職,M 碩士,216,132,84,53,27,41,31,21,16,12,6,4,3,1,1,-,-,-,-,03 桃園市,1 一般
0044,國立體育大學,N 修,C 二年制,73,55,18,-,-,-,-,26,9,24,8,-,-,-,-,-,-,5,1,03 桃園市,1 一般
0046,國立臺北護理健康大學,D 日,D 博士,69,6,63,3,15,3,15,-,8,-,7,-,8,-,9,-,1,-,-,30 臺北市,2 技職
0046,國立臺北護理健康大學,D 日,M 碩士,568,94,474,33,156,32,140,17,108,12,70,-,-,-,-,-,-,-,-,30 臺北市,2 技職
0046,國立臺北護理健康大學,D 日,B 四技,"2,836",715,"2,121",208,514,161,560,158,493,150,489,-,-,-,-,-,-,38,65,30 臺北市,2 技職
0046,國立臺北護理健康大學,D 日,C 二技,857,53,804,-,-,-,-,34,388,18,401,-,-,-,-,-,-,1,15,30 臺北市,2 技職
0046,國立臺北護理健康大學,N 職,M 碩士,203,30,173,11,57,8,54,9,44,2,18,-,-,-,-,-,-,-,-,30 臺北市,2 技職
0046,國立臺北護理健康大學,N 修,C 二技,714,24,690,-,-,-,-,13,229,9,217,1,219,-,-,-,-,1,25,30 臺北市,2 技職
0047,國立高雄餐旅大學,D 日,D 博士,29,12,17,1,6,1,4,3,-,2,1,2,5,1,-,2,1,-,-,50 高雄市,2 技職
0047,國立高雄餐旅大學,D 日,M 碩士,150,50,100,26,42,18,37,5,19,1,2,-,-,-,-,-,-,-,-,50 高雄市,2 技職
0047,國立高雄餐旅大學,D 日,B 四技,"3,176",922,"2,254",251,561,220,542,221,560,216,572,-,-,-,-,-,-,14,19,50 高雄市,2 技職
0047,國立高雄餐旅大學,D 日,C 二技,92,14,78,-,-,-,-,8,36,6,42,-,-,-,-,-,-,-,-,50 高雄市,2 技職
0047,國立高雄餐旅大學,D 日,5 五專,244,96,148,22,30,17,29,21,29,18,29,16,30,-,-,-,-,2,1,50 高雄市,2 技職
0047,國立高雄餐旅大學,N 職,M 碩士,50,28,22,6,12,11,6,4,1,6,1,1,2,-,-,-,-,-,-,50 高雄市,2 技職
0047,國立高雄餐旅大學,N 修,B 四技,"1,100",324,776,93,199,95,251,73,161,54,163,-,-,-,-,-,-,9,2,50 高雄市,2 技職
0047,國立高雄餐旅大學,N 修,C 二技,297,71,226,-,-,-,-,36,108,35,112,-,-,-,-,-,-,-,6,50 高雄市,2 技職
0047,國立高雄餐旅大學,N 修,X 4+X,47,16,31,15,26,-,-,-,-,-,-,-,-,-,-,-,-,1,5,50 高雄市,2 技職
0047,國立高雄餐旅大學,N 修,2 二專,12,5,7,-,-,-,1,-,-,-,-,-,-,-,-,-,-,5,6,50 高雄市,2 技職
0048,國立金門大學,D 日,M 碩士,207,127,80,39,36,44,16,24,16,20,12,-,-,-,-,-,-,-,-,71 金門縣,1 一般
0048,國立金門大學,D 日,B 學士,"3,153","1,593","1,560",335,377,394,343,364,401,393,385,25,16,-,-,-,-,82,38,71 金門縣,1 一般
0048,國立金門大學,N 職,M 碩士,91,69,22,36,11,25,9,8,2,-,-,-,-,-,-,-,-,-,-,71 金門縣,1 一般
0048,國立金門大學,P 進,B 學士,852,487,365,150,109,117,86,96,82,90,71,-,-,-,-,-,-,34,17,71 金門縣,1 一般
0049,國立臺灣體育運動大學,D 日,M 碩士,251,122,129,44,42,27,38,30,35,13,8,7,4,1,1,-,1,-,-,19 臺中市,1 一般
0049,國立臺灣體育運動大學,D 日,B 學士,"2,379","1,400",979,333,255,314,226,314,225,319,225,-,-,-,-,-,-,120,48,19 臺中市,1 一般
0049,國立臺灣體育運動大學,N 職,M 碩士,105,61,44,26,15,9,19,13,6,7,4,4,-,2,-,-,-,-,-,19 臺中市,1 一般
0049,國立臺灣體育運動大學,P 進,B 學士,365,259,106,64,34,64,26,63,24,45,17,-,-,-,-,-,-,23,5,19 臺中市,1 一般
0050,國立臺中科技大學,D 日,M 碩士,369,166,203,72,94,62,83,22,20,10,6,-,-,-,-,-,-,-,-,19 臺中市,2 技職
0050,國立臺中科技大學,D 日,B 四技,"5,470","1,590","3,880",398,923,367,934,409,949,335,974,-,-,-,-,-,-,81,100,19 臺中市,2 技職
0050,國立臺中科技大學,D 日,C 二技,"1,462",293,"1,169",-,-,-,-,148,554,129,505,-,-,-,-,-,-,16,110,19 臺中市,2 技職
0050,國立臺中科技大學,D 日,5 五專,"3,484",759,"2,725",176,550,157,501,145,499,120,550,144,585,-,-,-,-,17,40,19 臺中市,2 技職
0050,國立臺中科技大學,N 職,M 碩士,218,100,118,44,50,43,56,9,10,4,2,-,-,-,-,-,-,-,-,19 臺中市,2 技職
0050,國立臺中科技大學,N 修,B 四技,"2,156",712,"1,444",179,398,156,361,170,295,154,322,-,-,-,-,-,-,53,68,19 臺中市,2 技職
0050,國立臺中科技大學,N 修,C 二技,394,112,282,-,-,-,-,58,136,44,112,-,-,-,-,-,-,10,34,19 臺中市,2 技職
0050,國立臺中科技大學,N 修,2 二專,12,-,12,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,11,19 臺中市,2 技職
0051,國立臺北商業大學,D 日,M 碩士,238,96,142,56,82,28,52,7,6,5,2,-,-,-,-,-,-,-,-,30 臺北市,2 技職
0051,國立臺北商業大學,D 日,B 四技,"2,366",690,"1,676",175,376,190,452,168,413,135,399,-,-,-,-,-,-,22,36,30 臺北市,2 技職
0051,國立臺北商業大學,D 日,C 二技,779,169,610,-,-,-,-,83,293,74,294,-,-,-,-,-,-,12,23,30 臺北市,2 技職
0051,國立臺北商業大學,D 日,5 五專,"1,874",523,"1,351",118,230,88,267,83,271,104,280,112,272,-,-,-,-,18,31,30 臺北市,2 技職
0051,國立臺北商業大學,N 職,M 碩士,43,23,20,14,10,9,9,-,1,-,-,-,-,-,-,-,-,-,-,30 臺北市,2 技職
0051,國立臺北商業大學,N 修,B 四技,679,213,466,72,147,49,104,37,107,48,93,-,-,-,-,-,-,7,15,30 臺北市,2 技職
0051,國立臺北商業大學,N 修,C 二技,739,206,533,-,-,-,-,85,270,110,238,-,-,-,-,-,-,11,25,30 臺北市,2 技職
0051,國立臺北商業大學,N 修,X 4+X,9,4,5,-,-,4,5,-,-,-,-,-,-,-,-,-,-,-,-,30 臺北市,2 技職
0051,國立臺北商業大學,N 修,2 二專,2,2,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1,-,30 臺北市,2 技職
0052,國立屏東大學,D 日,D 博士,46,24,22,4,5,5,6,4,2,2,7,5,1,1,1,3,-,-,-,13 屏東縣,1 一般
0052,國立屏東大學,D 日,M 碩士,889,381,508,139,182,124,135,68,122,50,69,-,-,-,-,-,-,-,-,13 屏東縣,1 一般
0052,國立屏東大學,D 日,B 學士,"6,731","2,672","4,059",627,975,655,973,671,968,589,"1,037",-,-,-,-,-,-,130,106,13 屏東縣,1 一般
0052,國立屏東大學,N 職,M 碩士,633,188,445,92,141,56,138,21,90,11,45,8,31,-,-,-,-,-,-,13 屏東縣,1 一般
0052,國立屏東大學,P 進,B 學士,670,320,350,104,95,77,83,67,91,44,58,-,-,-,-,-,-,28,23,13 屏東縣,1 一般
0053,國立高雄科技大學,D 日,D 博士,551,440,111,82,14,75,19,67,35,78,16,56,12,41,5,41,10,-,-,50 高雄市,2 技職
0053,國立高雄科技大學,D 日,M 碩士,"2,523","1,676",847,788,342,635,346,176,103,76,56,-,-,1,-,-,-,-,-,50 高雄市,2 技職
0053,國立高雄科技大學,D 日,B 四技,"17,332","10,588","6,744","2,662","1,578","2,581","1,631","2,514","1,683","2,408","1,679",-,-,-,-,-,-,423,173,50 高雄市,2 技職
0053,國立高雄科技大學,D 日,C 二技,456,284,172,-,-,-,-,119,83,130,81,-,-,-,-,-,-,35,8,50 高雄市,2 技職
0053,國立高雄科技大學,D 日,X 4+X,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,50 高雄市,2 技職
0053,國立高雄科技大學,D 日,5 五專,639,529,110,191,36,81,19,81,16,80,16,76,18,-,-,-,-,20,5,50 高雄市,2 技職
0053,國立高雄科技大學,N 職,M 碩士,"2,032","1,376",656,567,304,498,251,160,56,90,31,40,8,21,6,-,-,-,-,50 高雄市,2 技職
0053,國立高雄科技大學,N 修,B 四技,"3,538","2,400","1,138",649,346,623,268,498,242,438,240,-,-,-,-,-,-,192,42,50 高雄市,2 技職
0053,國立高雄科技大學,N 修,C 二技,202,100,102,-,-,-,-,45,27,48,61,-,-,-,-,-,-,7,14,50 高雄市,2 技職
0144,國立臺灣戲曲學院,D 日,B 四技,568,200,368,53,95,42,96,44,88,38,77,-,-,-,-,-,-,23,12,30 臺北市,2 技職
0144,國立臺灣戲曲學院,N 修,B 四技,39,19,20,-,-,5,4,4,7,10,8,-,-,-,-,-,-,-,1,30 臺北市,2 技職
0221,國立臺南護理專科學校,D 日,2 二專,110,2,108,1,62,1,46,-,-,-,-,-,-,-,-,-,-,-,-,21 臺南市,2 技職
0221,國立臺南護理專科學校,D 日,5 五專,"1,795",129,"1,666",30,331,29,332,22,342,22,331,25,314,-,-,-,-,1,16,21 臺南市,2 技職
0221,國立臺南護理專科學校,N 修,2 二專,53,4,49,1,22,3,24,-,-,-,-,-,-,-,-,-,-,-,3,21 臺南市,2 技職
0222,國立臺東專科學校,D 日,2 二專,581,438,143,214,88,211,51,-,-,-,-,-,-,-,-,-,-,13,4,14 臺東縣,2 技職
0222,國立臺東專科學校,D 日,5 五專,504,219,285,23,35,30,61,43,72,65,54,39,48,-,-,-,-,19,15,14 臺東縣,2 技職
0222,國立臺東專科學校,N 修,2 二專,89,53,36,36,19,15,11,-,-,-,-,-,-,-,-,-,-,2,6,14 臺東縣,2 技職
1001,東海大學,D 日,D 博士,243,147,96,37,18,22,14,18,12,23,12,16,14,15,7,16,19,-,-,19 臺中市,1 一般
1001,東海大學,D 日,M 碩士,"1,234",625,609,216,213,198,189,114,112,85,90,7,3,5,2,-,-,-,-,19 臺中市,1 一般
1001,東海大學,D 日,B 學士,"13,279","5,983","7,296","1,373","1,810","1,462","1,757","1,402","1,693","1,392","1,758",16,14,-,-,-,-,338,264,19 臺中市,1 一般
1001,東海大學,N 職,M 碩士,720,350,370,119,132,90,111,46,57,45,38,28,16,22,16,-,-,-,-,19 臺中市,1 一般
1001,東海大學,P 進,B 學士,604,323,281,71,60,54,54,57,53,44,60,64,41,-,-,-,-,33,13,19 臺中市,1 一般
1002,輔仁大學,D 日,D 博士,420,233,187,42,36,44,35,34,28,35,29,29,25,19,14,30,20,-,-,01 新北市,1 一般
1002,輔仁大學,D 日,M 碩士,"2,007",847,"1,160",307,373,275,350,162,237,100,185,2,8,1,7,-,-,-,-,01 新北市,1 一般
1002,輔仁大學,D 日,B 學士,"17,839","7,598","10,241","1,709","2,414","1,806","2,417","1,809","2,466","1,717","2,469",27,20,37,15,34,12,459,428,01 新北市,1 一般
1002,輔仁大學,N 職,M 碩士,"1,423",604,819,230,303,212,274,50,93,44,60,31,38,37,51,-,-,-,-,01 新北市,1 一般
1002,輔仁大學,N 修,C 二技,65,2,63,-,-,-,-,2,29,-,34,-,-,-,-,-,-,-,-,01 新北市,2 技職
1002,輔仁大學,P 進,B 學士,"4,422","1,698","2,724",418,639,375,576,396,623,332,638,-,-,-,-,-,-,177,248,01 新北市,1 一般
1003,東吳大學,D 日,D 博士,124,66,58,10,7,11,9,12,10,8,9,9,10,11,4,5,9,-,-,30 臺北市,1 一般
1003,東吳大學,D 日,M 碩士,"1,256",572,684,185,208,161,206,107,153,117,114,2,3,-,-,-,-,-,-,30 臺北市,1 一般
1003,東吳大學,D 日,B 學士,"12,012","4,742","7,270","1,110","1,621","1,061","1,672","1,091","1,724","1,080","1,753",120,148,-,-,-,-,280,352,30 臺北市,1 一般
1003,東吳大學,D 日,X 4+X,27,24,3,17,3,7,-,-,-,-,-,-,-,-,-,-,-,-,-,30 臺北市,1 一般
1003,東吳大學,N 職,M 碩士,"1,175",539,636,126,171,145,151,82,121,88,69,51,58,47,66,-,-,-,-,30 臺北市,1 一般
1003,東吳大學,P 進,B 學士,"1,071",356,715,98,137,75,131,63,148,59,167,43,100,-,-,-,-,18,32,30 臺北市,1 一般
1004,中原大學,D 日,D 博士,348,243,105,60,24,29,23,38,18,40,16,28,10,22,7,26,7,-,-,03 桃園市,1 一般
1004,中原大學,D 日,M 碩士,"1,611",973,638,408,258,382,222,110,90,72,67,-,1,-,-,1,-,-,-,03 桃園市,1 一般
1004,中原大學,D 日,B 學士,"13,360","7,270","6,090","1,651","1,467","1,715","1,399","1,637","1,452","1,697","1,424",72,96,-,-,-,-,498,252,03 桃園市,1 一般
1004,中原大學,D 日,X 4+X,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,03 桃園市,1 一般
1004,中原大學,N 職,M 碩士,869,542,327,173,143,173,109,80,29,55,23,23,15,38,8,-,-,-,-,03 桃園市,1 一般
1005,淡江大學,D 日,D 博士,428,283,145,43,36,52,17,44,23,44,12,32,18,36,23,32,16,-,-,01 新北市,1 一般
1005,淡江大學,D 日,M 碩士,"1,790","1,018",772,412,295,376,284,146,110,84,83,-,-,-,-,-,-,-,-,01 新北市,1 一般
1005,淡江大學,D 日,B 學士,"20,476","10,374","10,102","2,437","2,352","2,417","2,396","2,411","2,494","2,362","2,485",31,26,-,-,-,-,716,349,01 新北市,1 一般
1005,淡江大學,N 職,M 碩士,988,514,474,166,142,185,181,54,59,40,36,45,25,24,31,-,-,-,-,01 新北市,1 一般
1005,淡江大學,P 進,B 學士,"1,661",885,776,224,180,137,111,168,165,228,241,-,-,-,-,-,-,128,79,01 新北市,1 一般
1006,中國文化大學,D 日,D 博士,547,350,197,38,20,42,27,47,23,36,32,43,25,40,20,104,50,-,-,30 臺北市,1 一般
1006,中國文化大學,D 日,M 碩士,"1,673",895,778,238,256,179,181,160,127,141,99,100,72,77,43,-,-,-,-,30 臺北市,1 一般
1006,中國文化大學,D 日,B 學士,"20,749","9,846","10,903","2,324","2,578","2,254","2,372","2,265","2,537","2,094","2,635",26,27,-,-,-,-,883,754,30 臺北市,1 一般
1006,中國文化大學,N 職,M 碩士,560,215,345,74,140,53,101,28,37,23,31,21,25,16,11,-,-,-,-,30 臺北市,1 一般
1006,中國文化大學,N 修,C 二技,135,42,93,-,-,-,-,9,18,26,64,5,10,-,-,-,-,2,1,30 臺北市,2 技職
1006,中國文化大學,P 進,B 學士,"1,561",671,890,192,267,116,159,128,167,140,161,-,-,-,-,-,-,95,136,30 臺北市,1 一般
1007,逢甲大學,D 日,D 博士,420,315,105,57,20,61,22,60,17,55,20,29,14,28,5,25,7,-,-,19 臺中市,1 一般
1007,逢甲大學,D 日,M 碩士,"1,608","1,078",530,463,255,453,182,106,71,56,21,-,1,-,-,-,-,-,-,19 臺中市,1 一般
1007,逢甲大學,D 日,B 學士,"16,832","10,363","6,469","2,356","1,635","2,547","1,559","2,462","1,574","2,492","1,562",63,52,-,-,-,-,443,87,19 臺中市,1 一般
1007,逢甲大學,N 職,M 碩士,"1,080",661,419,246,168,229,175,85,41,59,27,42,8,-,-,-,-,-,-,19 臺中市,1 一般
1007,逢甲大學,P 進,B 學士,872,495,377,120,80,114,71,110,75,101,115,-,-,-,-,-,-,50,36,19 臺中市,1 一般
1008,靜宜大學,D 日,D 博士,46,24,22,3,8,3,3,6,4,3,3,3,2,1,-,5,2,-,-,06 臺中市,1 一般
1008,靜宜大學,D 日,M 碩士,530,192,338,75,157,51,94,39,58,25,25,2,2,-,1,-,1,-,-,06 臺中市,1 一般
1008,靜宜大學,D 日,B 學士,"11,205","4,315","6,890","1,009","1,593","1,016","1,649",991,"1,662",930,"1,668",-,-,-,-,-,-,369,318,06 臺中市,1 一般
1008,靜宜大學,N 職,M 碩士,323,127,196,38,66,37,64,11,27,21,14,7,15,13,10,-,-,-,-,06 臺中市,1 一般
1009,長庚大學,D 日,D 博士,497,334,163,41,27,52,22,50,27,47,23,48,19,32,13,64,32,-,-,03 桃園市,1 一般
1009,長庚大學,D 日,M 碩士,"1,096",556,540,215,204,189,163,111,91,33,60,5,11,3,11,-,-,-,-,03 桃園市,1 一般
1009,長庚大學,D 日,B 學士,"5,260","2,652","2,608",557,615,562,589,527,629,587,533,98,55,92,64,110,45,119,78,03 桃園市,1 一般
1009,長庚大學,N 職,M 碩士,199,96,103,35,37,30,34,6,2,9,19,7,9,9,2,-,-,-,-,03 桃園市,1 一般
1010,元智大學,D 日,D 博士,279,203,76,40,15,36,11,29,17,31,12,22,10,22,2,23,9,-,-,03 桃園市,1 一般
1010,元智大學,D 日,M 碩士,846,550,296,234,125,192,120,87,32,37,18,-,1,-,-,-,-,-,-,03 桃園市,1 一般
1010,元智大學,D 日,B 學士,"7,113","4,053","3,060",950,733,953,740,947,746,968,743,-,-,-,-,-,-,235,98,03 桃園市,1 一般
1010,元智大學,N 職,M 碩士,644,420,224,135,88,108,78,61,25,43,18,38,9,34,6,1,-,-,-,03 桃園市,1 一般
1011,中華大學,D 日,D 博士,88,62,26,8,9,9,4,7,5,12,2,12,3,5,1,9,2,-,-,18 新竹市,1 一般
1011,中華大學,D 日,M 碩士,516,283,233,148,163,76,44,33,15,25,10,1,1,-,-,-,-,-,-,18 新竹市,1 一般
1011,中華大學,D 日,B 學士,"5,020","3,121","1,899",767,452,502,304,649,418,902,618,21,20,-,-,-,-,280,87,18 新竹市,1 一般
1011,中華大學,N 職,M 碩士,211,111,100,50,73,32,19,18,6,11,1,-,1,-,-,-,-,-,-,18 新竹市,1 一般
1011,中華大學,N 修,C 二技,207,135,72,-,-,-,-,6,8,127,64,-,-,-,-,-,-,2,-,18 新竹市,2 技職
1011,中華大學,P 進,B 學士,225,145,80,57,33,14,4,30,17,29,18,-,-,-,-,-,-,15,8,18 新竹市,1 一般
1012,大葉大學,D 日,D 博士,134,102,32,21,8,25,6,13,8,16,5,11,-,10,1,6,4,-,-,07 彰化縣,1 一般
1012,大葉大學,D 日,M 碩士,670,369,301,168,175,116,80,60,26,24,19,1,1,-,-,-,-,-,-,07 彰化縣,1 一般
1012,大葉大學,D 日,B 學士,"8,019","4,191","3,828",892,882,916,732,"1,033",968,"1,117","1,119",-,-,-,-,-,-,233,127,07 彰化縣,1 一般
1012,大葉大學,N 職,M 碩士,384,172,212,127,160,20,35,11,11,7,3,2,3,5,-,-,-,-,-,07 彰化縣,1 一般
1012,大葉大學,N 修,C 二技,58,-,58,-,-,-,-,-,41,-,16,-,-,-,-,-,-,-,1,07 彰化縣,2 技職
1012,大葉大學,P 進,B 學士,"1,046",588,458,137,123,98,95,144,108,173,111,-,-,-,-,-,-,36,21,07 彰化縣,1 一般
1013,華梵大學,D 日,D 博士,61,39,22,9,4,9,3,2,5,5,4,8,3,5,3,1,-,-,-,01 新北市,1 一般
1013,華梵大學,D 日,M 碩士,213,114,99,26,24,40,24,24,25,24,26,-,-,-,-,-,-,-,-,01 新北市,1 一般
1013,華梵大學,D 日,B 學士,"1,447",788,659,166,139,104,93,163,158,264,235,-,-,-,-,-,-,91,34,01 新北市,1 一般
1013,華梵大學,N 職,M 碩士,150,44,106,25,64,8,12,-,9,6,6,2,8,3,7,-,-,-,-,01 新北市,1 一般
1014,義守大學,D 日,D 博士,147,113,34,16,6,27,10,19,5,13,6,22,3,9,-,7,4,-,-,12 高雄市,1 一般
1014,義守大學,D 日,M 碩士,402,249,153,92,62,79,49,47,35,31,7,-,-,-,-,-,-,-,-,12 高雄市,1 一般
1014,義守大學,D 日,B 學士,"12,546","6,278","6,268","1,469","1,609","1,425","1,465","1,454","1,415","1,490","1,543",23,28,-,-,-,-,417,208,12 高雄市,1 一般
1014,義守大學,N 職,M 碩士,473,339,134,119,57,149,51,46,13,10,4,10,7,5,2,-,-,-,-,12 高雄市,1 一般
1014,義守大學,N 修,C 二技,229,45,184,-,-,-,-,23,85,20,98,-,-,-,-,-,-,2,1,12 高雄市,2 技職
1014,義守大學,P 進,B 學士,"1,735","1,212",523,331,141,362,138,261,124,210,96,-,-,-,-,-,-,48,24,12 高雄市,1 一般
1015,世新大學,D 日,D 博士,97,45,52,10,11,10,8,6,8,7,7,3,6,4,5,5,7,-,-,30 臺北市,1 一般
1015,世新大學,D 日,M 碩士,612,294,318,91,116,93,113,49,41,61,48,-,-,-,-,-,-,-,-,30 臺北市,1 一般
1015,世新大學,D 日,B 學士,"9,671","3,409","6,262",823,"1,489",770,"1,515",832,"1,529",774,"1,540",-,-,-,-,-,-,210,189,30 臺北市,1 一般
1015,世新大學,N 職,M 碩士,785,422,363,119,132,88,84,67,44,55,40,48,30,45,33,-,-,-,-,30 臺北市,1 一般
1015,世新大學,N 修,C 二技,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,30 臺北市,2 技職
1015,世新大學,P 進,B 學士,424,163,261,63,91,38,48,29,53,24,52,-,-,-,-,-,-,9,17,30 臺北市,1 一般
1016,銘傳大學,D 日,D 博士,73,30,43,6,11,4,6,7,9,5,4,2,6,4,5,2,2,-,-,30 臺北市,1 一般
1016,銘傳大學,D 日,M 碩士,741,330,411,126,184,101,117,60,64,43,45,-,-,-,-,-,1,-,-,30 臺北市,1 一般
1016,銘傳大學,D 日,B 學士,"17,333","6,868","10,465","1,664","2,520","1,531","2,448","1,578","2,521","1,569","2,523",37,20,-,-,-,-,489,433,30 臺北市,1 一般
1016,銘傳大學,N 職,M 碩士,828,382,446,146,183,136,181,40,42,34,18,12,12,14,10,-,-,-,-,30 臺北市,1 一般
1017,實踐大學,D 日,D 博士,25,10,15,3,4,3,3,1,3,3,2,-,1,-,-,-,2,-,-,30 臺北市,1 一般
1017,實踐大學,D 日,M 碩士,380,161,219,64,79,41,62,36,50,20,28,-,-,-,-,-,-,-,-,30 臺北市,1 一般
1017,實踐大學,D 日,B 學士,"11,258","3,713","7,545",807,"1,903",813,"1,688",862,"1,846",954,"1,796",16,20,-,-,-,-,261,292,30 臺北市,1 一般
1017,實踐大學,N 職,M 碩士,144,56,88,16,30,21,32,7,11,6,9,6,6,-,-,-,-,-,-,30 臺北市,1 一般
1017,實踐大學,N 修,C 二技,128,21,107,-,-,-,-,10,50,8,45,-,-,-,-,-,-,3,12,30 臺北市,2 技職
1017,實踐大學,P 進,B 學士,"2,033",643,"1,390",168,291,131,295,145,353,154,352,-,-,-,-,-,-,45,99,30 臺北市,1 一般
1018,朝陽科技大學,D 日,D 博士,91,69,22,13,8,13,4,17,2,14,3,7,3,3,1,2,1,-,-,06 臺中市,2 技職
1018,朝陽科技大學,D 日,M 碩士,642,349,293,133,124,102,89,114,80,-,-,-,-,-,-,-,-,-,-,06 臺中市,2 技職
1018,朝陽科技大學,D 日,B 四技,"11,410","4,763","6,647","1,168","1,699","1,145","1,545","1,138","1,596","1,064","1,636",-,-,-,-,-,-,248,171,06 臺中市,2 技職
1018,朝陽科技大學,D 日,C 二技,51,20,31,-,-,-,-,8,17,9,11,-,-,-,-,-,-,3,3,06 臺中市,2 技職
1018,朝陽科技大學,N 職,M 碩士,404,212,192,76,58,69,38,67,96,-,-,-,-,-,-,-,-,-,-,06 臺中市,2 技職
1018,朝陽科技大學,N 修,B 四技,"3,014","1,573","1,441",470,394,322,322,367,325,329,336,-,-,-,-,-,-,85,64,06 臺中市,2 技職
1019,高雄醫學大學,D 日,D 博士,305,161,144,25,31,29,29,32,30,26,16,19,13,15,15,15,10,-,-,50 高雄市,1 一般
1019,高雄醫學大學,D 日,M 碩士,681,231,450,93,183,95,173,33,76,10,18,-,-,-,-,-,-,-,-,50 高雄市,1 一般
1019,高雄醫學大學,D 日,B 學士,"5,546","2,445","3,101",481,738,498,680,481,706,471,692,183,110,166,84,100,46,65,45,50 高雄市,1 一般
1019,高雄醫學大學,N 職,M 碩士,230,85,145,26,64,28,58,13,18,10,4,8,1,-,-,-,-,-,-,50 高雄市,1 一般
1019,高雄醫學大學,N 修,C 二技,40,-,40,-,-,-,-,-,13,-,12,-,15,-,-,-,-,-,-,50 高雄市,2 技職
1020,南華大學,D 日,D 博士,48,27,21,11,9,3,6,4,1,4,2,-,-,1,2,4,1,-,-,10 嘉義縣,1 一般
1020,南華大學,D 日,M 碩士,644,271,373,135,207,79,85,30,39,26,40,1,2,-,-,-,-,-,-,10 嘉義縣,1 一般
1020,南華大學,D 日,B 學士,"4,489","2,160","2,329",647,701,453,550,425,465,471,553,-,-,-,-,-,-,164,60,10 嘉義縣,1 一般
1020,南華大學,N 職,M 碩士,392,159,233,68,98,50,57,18,35,9,19,14,24,-,-,-,-,-,-,10 嘉義縣,1 一般
1020,南華大學,P 進,B 學士,325,186,139,57,41,41,33,35,31,40,32,-,-,-,-,-,-,13,2,10 嘉義縣,1 一般
1021,真理大學,D 日,M 碩士,135,84,51,37,14,23,15,16,10,8,12,-,-,-,-,-,-,-,-,01 新北市,1 一般
1021,真理大學,D 日,B 學士,"5,830","2,834","2,996",676,846,570,511,616,687,733,840,-,-,-,-,-,-,239,112,01 新北市,1 一般
1021,真理大學,N 職,M 碩士,21,10,11,6,4,3,4,1,2,-,1,-,-,-,-,-,-,-,-,01 新北市,1 一般
1021,真理大學,P 進,B 學士,218,123,95,24,27,21,12,23,15,39,28,-,-,-,-,-,-,16,13,01 新北市,1 一般
1022,大同大學,D 日,D 博士,116,66,50,11,13,12,5,9,7,8,5,7,6,9,7,10,7,-,-,30 臺北市,1 一般
1022,大同大學,D 日,M 碩士,353,264,89,106,35,100,39,38,10,20,5,-,-,-,-,-,-,-,-,30 臺北市,1 一般
1022,大同大學,D 日,B 學士,"3,689","2,226","1,463",535,353,494,372,504,366,534,329,-,-,-,-,-,-,159,43,30 臺北市,1 一般
1022,大同大學,N 職,M 碩士,232,178,54,39,18,37,14,40,11,41,6,21,5,-,-,-,-,-,-,30 臺北市,1 一般
1023,南臺科技大學,D 日,D 博士,99,83,16,21,7,19,4,14,1,6,2,12,1,3,-,8,1,-,-,11 臺南市,2 技職
1023,南臺科技大學,D 日,M 碩士,830,474,356,191,132,168,113,74,65,32,34,8,12,1,-,-,-,-,-,11 臺南市,2 技職
